"","Mass","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail"
"Tyrannus_forficatus","38.97 ± 4.08
(13)","13.27 ± 0.7
(23)","7.72 ± 0.35
(23)","6.29 ± 0.31
(23)","18.77 ± 0.63
(26)","40.58 ± 3.61
(16)","115.89 ± 3.79
(16)","155.72 ± 20.16
(20)"
"Tyrannus_melancholicus_despotes","NaN ± NA
(0)","17.38 ± 1.08
(13)","9.78 ± 0.6
(14)","7.38 ± 0.47
(10)","17.69 ± 1.08
(14)","28.04 ± 0.58
(9)","104.7 ± 3.13
(9)","87.14 ± 2.23
(5)"
"Tyrannus_melancholicus_melancholicus","43.13 ± 4.18
(29)","17.43 ± 0.8
(98)","9.76 ± 0.41
(98)","7.61 ± 0.42
(95)","18.27 ± 0.87
(100)","29.56 ± 2.33
(77)","110.83 ± 2.77
(77)","90.53 ± 3.21
(42)"
"Tyrannus_melancholicus_satrapa","41.84 ± 6.06
(28)","17.67 ± 1
(75)","10.09 ± 0.43
(78)","7.42 ± 0.38
(77)","19.35 ± 0.93
(80)","27.67 ± 2.04
(60)","109.71 ± 4.04
(60)","88.9 ± 3.66
(47)"
"Tyrannus_niveigularis","34.67 ± 4.35
(4)","14.64 ± 0.43
(6)","8.77 ± 0.39
(6)","6.33 ± 0.38
(6)","18.21 ± 0.86
(6)","24.28 ± 2
(5)","101.7 ± 3.66
(5)","77.07 ± 2.01
(5)"
"Tyrannus_savana_circumdatus","NaN ± NA
(0)","11.48 ± 0.75
(5)","6.29 ± 0.37
(5)","5.01 ± 0.21
(5)","17.49 ± 0.44
(5)","30.74 ± 2.08
(5)","100.03 ± 1.91
(5)","182 ± 15.62
(3)"
"Tyrannus_savana_monachus_CA","25 ± 0.2
(3)","11.19 ± 0.41
(13)","6.76 ± 0.26
(14)","5.23 ± 0.26
(14)","17.64 ± 0.68
(14)","30.01 ± 1.85
(11)","97.43 ± 2.64
(11)","184.66 ± 22.81
(7)"
"Tyrannus_savana_monachus_SA","26.48 ± 1.66
(4)","11.46 ± 0.67
(37)","6.36 ± 0.47
(38)","5.33 ± 0.33
(36)","17.15 ± 0.45
(16)","31.68 ± 2.42
(14)","100.67 ± 3.71
(30)","191.39 ± 25.3
(21)"
"Tyrannus_savana_sanctaemartae","NaN ± NA
(0)","12.17 ± 0.4
(3)","6.27 ± 0.12
(3)","5.43 ± 0.35
(3)","17.27 ± 0.1
(3)","31.95 ± 0.78
(3)","99.5 ± 1.5
(3)","198 ± NA
(1)"
"Tyrannus_savana_savana","29.5 ± 3.87
(4)","11.2 ± 0.46
(39)","6.59 ± 0.48
(40)","5.33 ± 0.4
(36)","17.79 ± 1.22
(35)","33.75 ± 1.99
(22)","104.12 ± 2.49
(25)","187.85 ± 28.62
(26)"
"Tyrannus_tyrannus","40.57 ± 6.04
(9)","13.57 ± 0.74
(23)","8.08 ± 0.46
(22)","6.51 ± 0.32
(21)","18.75 ± 0.78
(23)","36.38 ± 2.68
(14)","113.44 ± 3.85
(14)","78.85 ± 4.99
(13)"
"Tyrannus_verticalis","43.8 ± 4.1
(2)","13.28 ± 0.8
(39)","7.85 ± 0.38
(39)","6.73 ± 0.27
(38)","19.5 ± 0.71
(40)","36.71 ± 2.37
(32)","119.56 ± 4.05
(33)","85.2 ± 2.9
(33)"
"Tyrannus_vociferans_vociferans","46.71 ± 3.25
(15)","15.23 ± 0.82
(68)","8.75 ± 0.41
(69)","7.07 ± 0.38
(67)","19.81 ± 0.77
(74)","35.95 ± 2.52
(45)","125.17 ± 4.14
(45)","88.21 ± 2.89
(40)"
"Tyrannus_vociferans_xenopterus","NaN ± NA
(0)","14.64 ± 0.54
(5)","8.57 ± 0.2
(5)","6.72 ± 0.4
(5)","19.65 ± 0.54
(5)","32.11 ± 2.71
(3)","120 ± 1.84
(3)","89.12 ± 2.22
(3)"
