"","X","Species","subspecies","Mig_Sed","HowAssignedMig_Sed","Specimen..","Mass","Measurer","Collection","Collection.Year","Collection.Month","Collection.Day","Country","State.province","County.District","Locality","Elevation","Latitude","Longitude","BL.Average","BW.Average","BD.Average","Tarsus.Average","Kipp.s.Distance","WC.Average","Tail","Age","Sex","Kipp.s.Index","tip.label"
"21",21,"Tyrannus_forficatus","","migratory","taxonomy","4034",NA,"MM","Royal Ontario Museum","1892",3,"28","United States of America","Texas","Aransas County","Rockport","",28.03774,-97.0666,13.955,7.435,6.25,20.215,46.64,120.09,227.117,"Adult","Male",38.8375385127821,"Tyrannus_forficatus"
"22",22,"Tyrannus_forficatus","","migratory","taxonomy","4035",NA,"MM","Royal Ontario Museum","1892",4,"18","United States of America","Texas","Aransas County","Rock Port","",28.03774,-97.0666,NA,NA,NA,18.105,45.2,118.525,125.87,"Adult","Female",38.1354144695212,"Tyrannus_forficatus"
"23",23,"Tyrannus_verticalis","","migratory","taxonomy","4040",NA,"MM","Royal Ontario Museum","1896",6,"17","United States of America","California","San Berrdino County","Ontario","",34.05437,-117.651,13.105,7.765,6.745,18.6,31.47,113.36,86.16,"Adult","Female",27.7611150317572,"Tyrannus_verticalis"
"25",25,"Tyrannus_savana","savana","migratory","taxonomy","4682",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1960",8,"20","Colombia","Vaupes","","Mitu","",1.252137,-70.2338,10.6,6,5.5,NA,NA,106,178,"Adult","Female",NA,"Tyrannus_savana_savana"
"26",26,"Tyrannus_savana","savana","migratory","taxonomy","4683",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1960",8,"20","Colombia","Vaupes","","Mitu","",1.252137,-70.2338,11.3,6.2,5.5,NA,NA,116,245,"Adult","Male",NA,"Tyrannus_savana_savana"
"27",27,"Tyrannus_vociferans","vociferans","partial","taxonomy","5203",NA,"MM","Louisiana State University Museum of tural Sciences","1941",4,"18","Mexico","Coahuila","","Saltillo","5300 feet",25.41942,-101.001,15.435,9.26,6.78,20.31,36.005,126.14,88.62,"Adult","Female",28.5436816235928,"Tyrannus_vociferans_vociferans"
"28",28,"Tyrannus_vociferans","vociferans","partial","taxonomy","5357",NA,"MM","Louisiana State University Museum of tural Sciences","1941",4,"16","Mexico","Coahuila","","Saltillo","5300 feet",25.41942,-101.001,15.125,8.775,6.935,19.61,42.44,133.455,NA,"Adult","Male",31.8009816042861,"Tyrannus_vociferans_vociferans"
"29",29,"Tyrannus_couchii","","partial","taxonomy","5358",NA,"MM","Louisiana State University Museum of tural Sciences","1941",4,"25","Mexico","Tamaulipas","","Villa Gran","",20.51499,-100.997,17.035,10.09,NA,19.5,NA,NA,NA,"Adult","Male",NA,"Tyrannus_couchii"
"30",30,"Tyrannus_tyrannus","","migratory","taxonomy","5821",NA,"MM","Royal Ontario Museum","",NA,"","Canada","Ontario","Toronto","Toronto","",43.73418,-79.4167,13.51,8.275,6.86,20.36,36.155,117.88,84.2,"Adult","Female",30.6710213776722,"Tyrannus_tyrannus"
"31",31,"Tyrannus_tyrannus","","migratory","taxonomy","5823",NA,"MM","Royal Ontario Museum","",NA,"","Canada","Ontario","Simcoe County","Orillia","",44.60738,-79.4167,13.145,7.535,6.145,17.665,41.265,117.655,NA,"Adult","Male",35.0728825804258,"Tyrannus_tyrannus"
"32",32,"Tyrannus_forficatus","","migratory","taxonomy","6070",NA,"MM","Louisiana State University Museum of tural Sciences","1941",11,"1","United States of America","Louisiana","Cameron Parish","Cameron","",29.79772,-93.3252,13.19,7.39,5.835,19.515,36.955,114.815,171,"Adult","Male",32.1865609894178,"Tyrannus_forficatus"
"34",34,"Tyrannus_savana","savana","migratory","taxonomy","6161",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1960",10,"17","Colombia","Cundinamarca","","Ciudad, Universitaria","",4.635069,-74.0826,11.5,6,5.4,NA,NA,115,207,"Adult","Male",NA,"Tyrannus_savana_savana"
"35",35,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6455",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1942",8,"3","Colombia","Huila","","San Agustin","",3.463141,-74.7456,10.4,6,5.4,NA,NA,105,265,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"36",36,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6456",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1947",10,"8","Colombia","Cauca","","Popayan","",2.444862,-76.615,11.5,6,5.2,NA,NA,106,263,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"37",37,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6457",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1947",10,"8","Colombia","Cauca","","Popayan","",2.444862,-76.615,9.7,5.7,4.4,NA,NA,104,240,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"38",38,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6458",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1947",10,"8","Colombia","Cauca","","Popayan","",2.480618,-76.5911,11,6.4,5.3,NA,NA,100,NA,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"39",39,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6459",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1950",1,"8","Colombia","Cauca","","Popayan","",2.480618,-76.5911,11,5.9,5.5,NA,NA,101,232,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"40",40,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6460",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1942",1,"5","Colombia","Cauca","","Popayan","",2.444862,-76.615,11.9,5.3,4.9,NA,NA,105,245,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"41",41,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6461",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1944",11,"19","Colombia","Cundinamarca","","Fusagasuga","",4.336463,-74.3638,11.2,6.1,5.3,NA,NA,98,168,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"43",43,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6463",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1949",3,"31","Colombia","Meta","","Rio Ariari","",3.817832,-74.0795,11.5,5.9,5.6,NA,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"44",44,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6464",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1945",4,"4","Colombia","Cundinamarca","","Fusagasuga","",4.336463,-74.3638,10.7,5.9,NA,NA,NA,NA,NA,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"45",45,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6465",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1946",10,"11","Colombia","Cundinamarca","","Fusagasuga","",4.336463,-74.3638,11.4,6.4,NA,NA,NA,100,176,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"46",46,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6466",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1945",3,"31","Colombia","Choco","","Rio Choco, El Choco, Fusagasuga","",4.321828,-74.3668,10.9,5.8,5.4,NA,NA,NA,NA,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"47",47,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6467",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1948",10,"19","Colombia","Arauca","","Rondon","",6.281161,-71.1042,11.9,6.4,5.4,NA,NA,105,251,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"49",49,"Tyrannus_savana","savana","migratory","taxonomy","6469",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1946",9,"30","Colombia","Cundinamarca","","Botoga","",4.711283,-74.0726,11,6.1,NA,NA,NA,108,233,"Adult","Male",NA,"Tyrannus_savana_savana"
"50",50,"Tyrannus_savana","savana","migratory","taxonomy","6470",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1946",9,"30","Colombia","Cundinamarca","","Botoga","",4.711283,-74.0726,10.6,5.6,NA,NA,NA,116,255,"Adult","Male",NA,"Tyrannus_savana_savana"
"52",52,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6472",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1947",5,"12","Colombia","Meta","","Quemame","",4.271102,-73.4876,10.7,5.9,5.3,NA,NA,NA,NA,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"54",54,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6474",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1956",12,"29","Colombia","Tolima","","Gaitarnia","",3.15007,-75.8167,11.4,5.6,4.7,NA,NA,105,207,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"55",55,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6475",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1960",10,"2","Colombia","Tolima","","Melgar","",4.204748,-74.6407,11.6,6.5,5.5,NA,NA,107,251,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"56",56,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6476",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1953",12,"21","Colombia","Tolima","","Guamo, Las Mercedes","",3.4125,-74.9247,10.6,6.3,5,NA,NA,96,170,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"57",57,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6477",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1954",1,"4","Colombia","Tolima","","Guamo, Las Mercedes","",3.4125,-74.9247,11.5,6.5,NA,NA,NA,104,246,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"58",58,"Tyrannus_forficatus","","migratory","taxonomy","6478",NA,"MM","Louisiana State University Museum of tural Sciences","1941",12,"5","United States of America","Louisiana","Lafourche Parish","Thibodaux","",29.79576,-90.8229,12.66,6.92,5.61,21.03,40.02,113.94,150.22,"Adult","Male",35.1237493417588,"Tyrannus_forficatus"
"59",59,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6478",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1953",12,"22","Colombia","Tolima","","Guamo, Las Mercedes","",3.4125,-74.9247,11.5,5.7,NA,NA,NA,106,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"60",60,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6479",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1958",2,"18","Colombia","Meta","","La Macarena Sur","",2.183674,-73.7848,11.5,6.8,5.3,NA,NA,105,257,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"61",61,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6480",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1959",2,"19","Colombia","Meta","","La Macarena Sur","",2.183674,-73.7848,12.1,6.6,NA,NA,NA,106,252,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"62",62,"Tyrannus_savana","savana","migratory","taxonomy","6481",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1959",3,"18","Colombia","Caqueta","","La Macarena Sur","",0.748127,-75.2381,11,6.3,5.2,NA,NA,106,162,"Adult","Male",NA,"Tyrannus_savana_savana"
"63",63,"Tyrannus_savana","savana","migratory","taxonomy","6481",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1947",8,"19","Colombia","Meta","","Caqueta, Trez Esquinas, Rio Orteguaza","",2.183674,-73.7848,10.9,6.1,NA,NA,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"64",64,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6482",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","",NA,"","Colombia","Cauca","","La Capilla, Cajibeo","",3.116259,-76.2482,12.2,5.9,5.3,NA,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"66",66,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6484",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1950",3,"7","Colombia","Valle del Cauca","","Vijes","",3.699335,-76.4423,10.6,5.5,5.5,NA,NA,102,NA,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"67",67,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6485",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1944",7,"","Colombia","Tolima","","E of Saldama","",3.928613,-75.0175,11.1,6.5,5.5,NA,NA,107,NA,"Adult","Female",NA,"Tyrannus_savana_monachus_SA"
"68",68,"Tyrannus_savana","savana","migratory","taxonomy","6486",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1947",8,"16","Colombia","Caqueta","","Tres Equinas","",0.744651,-75.234965,10.4,6.4,NA,NA,NA,108,194,"Adult","Female",NA,"Tyrannus_savana_savana"
"70",70,"Tyrannus_savana","savana","migratory","taxonomy","6489",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1946",10,"28","Colombia","Cundinamarca","","Bogota","",4.711283,-74.0726,10.7,5.8,5.8,NA,NA,108,163,"Adult","Male",NA,"Tyrannus_savana_savana"
"71",71,"Tyrannus_savana","savana","migratory","taxonomy","6490",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1946",9,"18","Colombia","Cundinamarca","","Bogota","",4.711283,-74.0726,11.4,4.8,NA,NA,NA,116,247,"Adult","Male",NA,"Tyrannus_savana_savana"
"72",72,"Tyrannus_savana","savana","migratory","taxonomy","6492",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1946",3,"20","Colombia","Amazonas","","Leticia","",-4.203209,-69.9357,11.7,6.8,5.1,NA,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_savana"
"73",73,"Tyrannus_savana","monachus SA","sedentary","taxonomy","6494",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1947",1,"11","Colombia","Atlantico","","Los Pendales","",10.61592,-75.2151,11.5,6.2,NA,NA,NA,102,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"74",74,"Tyrannus_savana","savana","migratory","taxonomy","6495",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1938",7,"19","Colombia","Atlantico","","Los Pendales, Santa Cruz","",10.5961,-75.2143,11.2,6.5,5.3,NA,NA,NA,159,"Adult","Female",NA,"Tyrannus_savana_savana"
"75",75,"Tyrannus_savana","savana","migratory","taxonomy","6496",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1959",3,"18","Colombia","Meta","","La Macarena Sur","",2.183674,-73.7848,12,7.1,NA,NA,NA,NA,NA,"Adult","Female",NA,"Tyrannus_savana_savana"
"76",76,"Tyrannus_verticalis","","migratory","taxonomy","6522",NA,"MM","Royal Ontario Museum","1907",7,"19","Canada","Alberta","Forty Mile County","Bow River, Calgary","",51.0496,-114.057,12.57,7.815,6.535,19.04,41.655,126.45,91.58,"Adult","Male",32.9418742586002,"Tyrannus_verticalis"
"77",77,"Tyrannus_savana","monachus CA","sedentary","taxonomy","6708",NA,"MM","The Field Museum","1889",6,"23","Costa Rica","","","San Jose","",9.933333,-84.0833,10.935,6.13,5.57,16.74,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_CA"
"79",79,"Tyrannus_savana","savana","migratory","taxonomy","6844",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1952",10,"16","Colombia","Cundinamarca","","Ciudad Universitaria, Bogota","",4.635069,-74.0826,10.8,5.8,5.2,NA,NA,112,201,"Adult","Male",NA,"Tyrannus_savana_savana"
"81",81,"Tyrannus_melancholicus","satrapa","partial","taxonomy","7053",NA,"MM","The Field Museum","1891",10,"19","Costa Rica","","","Sanches","",9.913056,-84.0183,17.265,10.095,7.785,19.96,29.21,114.185,91.93,"Adult","Female",25.58129351491,"Tyrannus_melancholicus_satrapa"
"82",82,"Tyrannus_melancholicus","satrapa","partial","taxonomy","7054",NA,"MM","The Field Museum","1891",12,"12","Costa Rica","Puntarenas","","Boruca","",9.000033,-83.3247,15.985,9.135,7.71,17.99,30.115,116.505,96.96,"Adult","Male",25.8486760224883,"Tyrannus_melancholicus_satrapa"
"85",85,"Tyrannus_vociferans","vociferans","partial","taxonomy","7389",NA,"MM","Smithsonian tiol Museum of tural History","18--",NA,"","","","","","",NA,NA,17.11,8.59,7.815,20.575,NA,NA,90.97,"Adult","Female",NA,"Tyrannus_vociferans_vociferans"
"86",86,"Tyrannus_vociferans","vociferans","partial","taxonomy","7390",NA,"MM","Smithsonian tiol Museum of tural History","",NA,"","","","","","",NA,NA,15.34,8.735,NA,20.555,39.78,132.095,94.86,"Adult","Male",30.1146901850941,"Tyrannus_vociferans_vociferans"
"87",87,"Tyrannus_couchii","","partial","taxonomy","7632",NA,"MM","Louisiana State University Museum of tural Sciences","1943",2,"7","Mexico","Tamaulipas","","Tampico","",22.23114,-97.8564,17.455,11.155,7.905,19.54,32.67,117.32,94.76,"Adult","Female",27.8469144220934,"Tyrannus_couchii"
"88",88,"Tyrannus_vociferans","vociferans","partial","taxonomy","7634",NA,"MM","Louisiana State University Museum of tural Sciences","1943",1,"31","Mexico","Michoacan","","Morelia, 15 miles North","",19.86139,-101.197,14.045,8.55,6.755,19.385,34.17,120.05,84.4,"Adult","Female",28.4631403581841,"Tyrannus_vociferans_vociferans"
"89",89,"Tyrannus_vociferans","vociferans","partial","taxonomy","7635",NA,"MM","Louisiana State University Museum of tural Sciences","1943",1,"29","Mexico","Federal District","","Xochimilco","",19.28293,-99.088,15.42,8.74,6.55,20.645,40.71,135.52,95.64,"Adult","Male",30.0398465171192,"Tyrannus_vociferans_vociferans"
"90",91,"Tyrannus_verticalis","","migratory","taxonomy","8850",NA,"MM","Royal Ontario Museum","1892",4,"13","United States of America","California","Riverside County","Riverside","",33.95335,-117.396,13.55,7.725,6.355,18.745,41.315,129.32,93.51,"Adult","Male",31.9478812248685,"Tyrannus_verticalis"
"91",93,"Tyrannus_forficatus","","migratory","taxonomy","9141",NA,"MM","Royal Ontario Museum","1896",10,"21","United States of America","Texas","Cameron County","Brownsville","",25.99381,-97.4486,NA,7.855,5.88,19.57,46.97,124.28,227.664,"Adult","Male",37.7936916639846,"Tyrannus_forficatus"
"92",94,"Tyrannus_tyrannus","","migratory","taxonomy","9280",NA,"MM","Louisiana State University Museum of tural Sciences","",NA,"","United States of America","Louisiana","East Baton Rouge","LSU campus, Nelson's Wood","",30.416993,-91.180689,14.05,7.955,6.76,18.5,34.155,107.815,72.98,"Adult","Male",31.6792654083384,"Tyrannus_tyrannus"
"97",99,"Tyrannus_savana","savana","migratory","taxonomy","10069",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","",NA,"","Colombia","Vaupes","","Mitu","",1.252137,-70.2338,10.9,6,5.4,NA,NA,110,240,"Adult","Male",NA,"Tyrannus_savana_savana"
"98",100,"Tyrannus_savana","monachus SA","sedentary","taxonomy","10147",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1968",3,"21","Colombia","","","20km east of Retiro Bolivar","",5.879907,-72.8017,11.5,5.8,NA,NA,NA,10,259,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"99",101,"Tyrannus_savana","monachus SA","sedentary","taxonomy","10162",NA,"MM","Universidad Nacional Instituto de Ciencias Naturales","1961",6,"25","Colombia","Cundinamarca","","Fusagasuga Uda. El Cucharal","",4.321828,-74.3668,11.6,5.9,5.4,NA,NA,NA,NA,"Adult","Male",NA,"Tyrannus_savana_monachus_SA"
"101",103,"Tyrannus_forficatus","","migratory","taxonomy","10558",NA,"MM","Louisiana State University Museum of tural Sciences","1947",6,"19","United States of America","Oklahoma","Blaine County","Watonga, 2 mi east","",35.84476,-98.3773,13.43,7.685,6.415,18.94,NA,NA,232,"Adult","Male",NA,"Tyrannus_forficatus"
"102",104,"Tyrannus_savana","monachus SA","sedentary","taxonomy","11402",NA,"MM","The Field Museum","",NA,"","Colombia","","","","",4.239404,-73.0005,11.69,7.105,5.78,16.275,38.745,107.23,NA,"Adult","Female",36.1326121421244,"Tyrannus_savana_monachus_SA"
"104",106,"Tyrannus_verticalis","","migratory","taxonomy","11411",NA,"MM","Royal Ontario Museum","1926",5,"1","Canada","British Columbia","Thompson-Nicola Regiol District","Kamloops, N slope","1600'",50.71907,-120.368,13.73,8.345,6.61,19.41,36.1,121.64,90.28,"Adult","Female",29.6777375863203,"Tyrannus_verticalis"
"105",107,"Tyrannus_verticalis","","migratory","taxonomy","11412",NA,"MM","Royal Ontario Museum","1926",4,"28","Canada","British Columbia","Thompson-Nicola Regiol District","Kamloops, N slope","1600'",50.71907,-120.368,14.135,7.86,6.13,19.99,43.41,129.635,91.82,"Adult","Male",33.4863269950245,"Tyrannus_verticalis"
"107",109,"Tyrannus_vociferans","vociferans","partial","taxonomy","11442",NA,"MM","Louisiana State University Museum of tural Sciences","1947",8,"1","Mexico","San Luis Potosi","","2 miles NNE of Salis","7000 feet",22.61701,-101.724,15.23,8.455,6.64,18.805,NA,NA,NA,"Adult","Male",NA,"Tyrannus_vociferans_vociferans"
"108",110,"Tyrannus_vociferans","vociferans","partial","taxonomy","11443",NA,"MM","Louisiana State University Museum of tural Sciences","1946",12,"7","Mexico","San Luis Potosi","","Villa Hidalgo, 2 miles north of village","5000m",22.38412,-101.713,14.34,8.835,7.095,19.4,39.825,130.93,85.65,"Adult","Male",30.4170167264951,"Tyrannus_vociferans_vociferans"
